,SYMBOL,exp_return,discounted_return,qtr_return,sell_date,stop_loss_price,days_delta,disc_rtn,qtr_rtn,outer_cv_avg_rmse_n11,outer_cv_std_n11,mean_revert_flag,yhat_upper,yhat_lower,Adj Close,21dBOLD,21dMA-TP,21dBOLU,90dSMA,90dSDev,90d_lower,90d_upper,volume_factor,Adj Close,adf,hurst
VIVO,VIVO,-0.146118438,0,1,7/8/2022,22.78218254,0,0,1,46.76175565,57.392018,FALSE,36.50591438,21.75073141,33.27000046,25.56887874,29.42829366,33.28770858,27.44976186,2.15449044,23.14078098,31.75874274,1.83698803,33.27000046,0.82011892,0.428538059
LNTH,LNTH,0.096309961,0.001194869,1.116124357,9/23/2022,57.45057808,77,0.001194869,1.116124357,69.81683731,95.42589776,FALSE,89.89662926,54.00406079,63.11000061,58.00660911,63.51055129,69.01449346,63.36178545,3.946332003,55.46912144,71.25444946,1.820483549,63.11000061,0.97884261,0.538307671
VRTX,VRTX,-0.041072472,-0.002991216,0.759113289,7/22/2022,244.9338215,14,-0.002991216,0.759113289,1989.334286,1637.208121,FALSE,313.1969805,254.6207218,294.1700134,242.1215706,272.0391693,301.956768,269.0103181,14.45306892,240.1041803,297.9164559,1.025566593,294.1700134,0.403522463,0.433180311
MRK,MRK,0.021270481,0.000250596,1.023319687,9/30/2022,86.72715515,84,0.000250596,1.023319687,37.17797191,38.08946531,FALSE,102.9195359,87.90612682,93.01000214,82.58656517,89.36681072,96.14705628,88.6653628,3.124897848,82.4155671,94.91515849,1.144902871,93.01000214,0.815004435,0.339349528
UTHR,UTHR,-0.136287109,-0.003482372,0.725468716,8/19/2022,185.4893574,42,-0.003482372,0.725468716,1001.218759,1071.111914,FALSE,238.5611866,179.6648043,240.1999969,212.0055466,229.7753574,247.5451682,207.1327775,23.39187208,160.3490333,253.9165217,1.32514999,240.1999969,0.939378422,0.420373317
CYTK,CYTK,0.271989859,0.003129334,1.333022889,9/23/2022,43.16242813,77,0.003129334,1.333022889,41.75308436,51.24324814,FALSE,74.52299744,44.73324168,45.34999847,36.75079742,42.80599235,48.86118728,40.50174627,3.213295678,34.07515491,46.92833762,1.638161743,45.34999847,0.994470661,0.347078398
HALO,HALO,-0.207830967,0,1,7/8/2022,34.41845781,0,0,1,77.76636076,81.03031606,FALSE,46.33939574,33.86302293,50.16999817,42.3368626,45.36015871,48.38345481,43.60880944,2.592173331,38.42446278,48.7931561,1.161109197,50.16999817,0.911514762,0.445839879
OPCH,OPCH,0.275290129,0.002899119,1.305169745,9/30/2022,28.31500664,84,0.002899119,1.305169745,18.19386046,18.41446245,FALSE,48.79565352,27.77613726,29.21999931,25.47671875,27.60623024,29.73574173,28.46555548,1.242911178,25.97973312,30.95137783,1.272908911,29.21999931,0.792013709,0.378410558
CORT,CORT,-0.211447908,-0.003387917,0.731822324,9/16/2022,16.78009375,70,-0.003387917,0.731822324,29.77031318,28.70592859,FALSE,26.48211619,17.0643733,27.11000061,19.02388795,22.95408736,26.88428678,21.91789685,2.14580198,17.62629289,26.20950081,0.675308782,27.11000061,0.254766328,0.382513262
CI,CI,-0.124263574,0,1,7/8/2022,214.734693,0,0,1,1583.266319,1135.415302,FALSE,274.3525512,211.0074501,275.7799988,239.4931672,257.7940478,276.0949284,258.35309,7.605593575,243.1419029,273.5642772,1.179558227,275.7799988,0.595994249,0.443140684
HUM,HUM,-0.026231167,-0.003790134,0.705142923,7/15/2022,432.8849586,7,-0.003790134,0.705142923,2534.088613,2971.437942,FALSE,514.5253344,418.9760032,476.3500061,416.7053245,451.5252877,486.3452509,446.3785899,14.3021923,417.7742053,474.9829745,1.111596614,476.3500061,0.71007215,0.309655081
UNH,UNH,0.050538039,0.000880789,1.084367517,9/2/2022,506.6256839,56,0.000880789,1.084367517,926.7490882,872.7737003,FALSE,587.2623693,499.7147629,514.3800049,449.0168292,489.5240466,530.031264,500.0558661,22.19070154,455.674463,544.4372691,1.415926733,514.3800049,0.982216537,0.303750683
BMY,BMY,0.002560785,3.04E-05,1.002805011,9/30/2022,65.31897368,84,3.04E-05,1.002805011,85.26005071,71.2768626,FALSE,85.70492746,66.66903185,75.13999939,71.8459702,75.8876555,79.9293408,75.77874184,1.359235615,73.06027061,78.49721307,1.123470867,75.13999939,0.719526796,0.478119172
CNC,CNC,0.054993818,0.003831242,1.421625335,7/22/2022,83.37674382,14,0.003831242,1.421625335,100.5810813,114.3582598,FALSE,100.6140972,81.08809885,85.26000214,74.87483192,81.56706362,88.25929532,83.01214276,3.11633513,76.7794725,89.24481302,0.882004718,85.26000214,0.460352042,0.392829906
FCN,FCN,-0.021389733,-0.000617575,0.944750443,8/12/2022,159.8703127,35,-0.000617575,0.944750443,267.3734156,230.3355137,FALSE,202.7076434,167.3482777,187.6399994,156.2887079,171.7338493,187.1789907,166.6202776,6.962917602,152.6944424,180.5461128,0.987574013,187.6399994,0.977122447,0.400703687
NOC,NOC,0.054615059,0.000633246,1.059969561,9/30/2022,445.6478986,84,0.000633246,1.059969561,1320.613449,1778.681869,FALSE,556.072351,462.597197,479.3800049,444.0508409,463.7822617,483.5136824,459.7190042,12.2038343,435.3113356,484.1266728,0.969941564,479.3800049,0.931105427,0.424454414
RGP,RGP,0.022478219,0.00026467,1.024645177,9/30/2022,17.87450381,84,0.00026467,1.024645177,4.297149437,4.229623414,FALSE,25.1179544,18.45715417,21.04999924,17.11765371,19.26980159,21.42194947,18.04867031,1.254079102,15.5405121,20.55682851,1.730422525,21.04999924,0.822551827,0.376029972
PWR,PWR,0.06575045,0.000827345,1.079053467,9/23/2022,110.3326844,77,0.000827345,1.079053467,228.3780837,211.1691385,FALSE,160.2079345,123.305862,132.25,114.4723053,123.6026073,132.7329094,122.4178883,7.875418243,106.6670519,138.1687248,1.193109089,132.25,0.99080879,0.428043824
CSL,CSL,0.142485214,0.001731444,1.172519794,9/23/2022,246.4389014,77,0.001731444,1.172519794,418.4481538,306.8325049,FALSE,318.6861708,252.7182726,249.5500031,224.7657988,243.9947611,263.2237235,249.023769,9.968229947,229.0873091,268.9602288,1.128993715,249.5500031,0.971405793,0.444465954
ACC,ACC,0.069799858,0.001071551,1.103547433,9/9/2022,61.92479653,63,0.001071551,1.103547433,36.86840344,36.37196003,FALSE,77.4884769,61.9358734,64.87999725,64.07694056,64.53265908,64.98837759,63.85492049,2.308505081,59.23791033,68.47193065,1.764548622,64.87999725,0.97932731,0.428815694
TVTY,TVTY,0.186227802,0.003054268,1.323876857,9/2/2022,28.04624247,56,0.003054268,1.323876857,62.29606181,48.612852,FALSE,54.91448217,26.82842675,32.5,31.85215248,32.26242056,32.67268865,32.18186497,0.232208533,31.7174479,32.64628203,1.881193354,32.5,0.524760025,0.446171232
GCP,GCP,-0.01909284,-0.000917553,0.919014259,7/29/2022,27.04503973,21,-0.000917553,0.919014259,15.13932384,19.48781487,FALSE,36.313756,26.36170267,31.76000023,30.78695766,31.22144847,31.65593929,31.16690474,0.237742131,30.69142048,31.64238901,2.178462786,31.76000023,0.164759468,0.457794229
BANF,BANF,-0.103826434,-0.001304163,0.886866084,9/30/2022,72.10323917,84,-0.001304163,0.886866084,296.1564576,244.8097843,FALSE,105.9032133,72.60092818,98.62999725,89.82495162,94.70948319,99.59401477,88.08683662,5.890740225,76.30535617,99.86831707,1.510393015,98.62999725,0.962942661,0.539757854
MUSA,MUSA,0.12358842,0.001388195,1.136127293,9/30/2022,226.1658809,84,0.001388195,1.136127293,432.0352607,505.9386274,FALSE,316.8974967,250.1630102,250.3999939,219.73903,234.1474996,248.5559692,238.0074199,9.445681582,219.1160567,256.8987831,1.420486404,250.3999939,0.99715331,0.413102879
ROG,ROG,0.197882573,0.002582693,1.267823287,9/16/2022,275.9575285,70,0.002582693,1.267823287,992.9823572,772.0783142,FALSE,377.3135263,260.7327501,263.4200134,255.3167851,259.4955948,263.6744045,265.1622616,6.280390121,252.6014814,277.7230418,1.037721778,263.4200134,0.729087915,0.47946667
EXLS,EXLS,0.111989772,0.001264501,1.123288582,9/30/2022,145.0706154,84,0.001264501,1.123288582,173.0554849,216.7143309,FALSE,192.3132736,150.8467424,153.1100006,132.7283415,144.1536898,155.5790381,141.4632947,6.845203545,127.7728876,155.1537018,1.288107766,153.1100006,0.989021689,0.376209597
MGPI,MGPI,-0.007087898,-0.001015646,0.910749918,7/15/2022,91.54581855,7,-0.001015646,0.910749918,124.7753306,90.8849071,FALSE,119.441391,84.00673171,101.2399979,88.22807367,95.38948441,102.5508951,94.62996534,3.130434445,88.36909645,100.8908342,1.588608313,101.2399979,0.809268271,0.473226132
SAFT,SAFT,-0.044551946,-0.001084528,0.904990624,8/19/2022,84.23226138,42,-0.001084528,0.904990624,75.66482641,68.5473369,FALSE,101.0133891,84.12494729,96.72000122,86.90900198,93.16539677,99.42179156,89.92121963,3.990626572,81.93996648,97.90247277,1.270398371,96.72000122,0.544045368,0.424074745
NTUS,NTUS,-0.06415123,-0.000788991,0.929958048,9/30/2022,24.33110317,84,-0.000788991,0.929958048,43.7073221,30.75012936,FALSE,38.36797151,24.48606251,32.79000092,31.16804944,32.36055572,33.55306201,32.04646824,2.170409974,27.7056483,36.38728819,1.454648334,32.79000092,0.14803727,0.419886608
UFCS,UFCS,-0.152276976,0,1,7/8/2022,23.13341783,0,0,1,48.7200258,53.20662808,FALSE,34.79922387,23.1408914,33.68000031,30.51673271,33.21904783,35.92136296,31.4371429,1.803248461,27.83064598,35.04363982,1.585300338,33.68000031,0.576711692,0.497588386
