,date,name,cik,variable,value
330,1989-04-30,Newell Brands,814453.0,added_ticker,NWL
215,1989-04-30,Globe Life,320335.0,added_ticker,GL
354,1989-08-31,Oracle,1341439.0,added_ticker,ORCL
268,1989-09-11,Kellogg's,55067.0,added_ticker,K
52,1989-12-01,Autodesk,769397.0,added_ticker,ADSK
296,1991-05-01,Marathon Oil,101778.0,added_ticker,MRO
25,1991-09-19,Ameren Corp,1002910.0,added_ticker,AEE
35,1992-01-02,Amgen,318154.0,added_ticker,AMGN
287,1992-07-01,Linde,1707925.0,added_ticker,LIN
251,1992-10-01,Interpublic Group,51644.0,added_ticker,IPG
129,1993-10-01,Costco,909832.0,added_ticker,COST
109,1993-12-01,Cisco Systems,858877.0,added_ticker,CSCO
160,1994-01-01,Eastman Chemical,915389.0,added_ticker,EMN
464,1994-03-01,Unum Group,5513.0,added_ticker,UNM
269,1994-03-01,KeyCorp,91576.0,added_ticker,KEY
314,1994-06-01,Microsoft,789019.0,added_ticker,MSFT
460,1994-07-01,UnitedHealth Group,731766.0,added_ticker,UNH
420,1994-07-01,Southwest Airlines,92380.0,added_ticker,LUV
313,1994-09-27,Micron Technology,723125.0,added_ticker,MU
74,1995-02-24,Boston Scientific,885725.0,added_ticker,BSX
44,1995-03-16,Applied Materials,6951.0,added_ticker,AMAT
69,1995-03-31,BNY Mellon,1390777.0,added_ticker,BK
19,1995-07-13,Allstate Corp,899051.0,added_ticker,ALL
120,1995-12-01,Comerica,28412.0,added_ticker,CMA
40,1996-04-23,Aon,315293.0,added_ticker,AON
54,1997-01-02,AutoZone,866787.0,added_ticker,AZO
5,1997-05-05,Adobe,796343.0,added_ticker,ADBE
85,1997-05-27,Cardinal Health,721371.0,added_ticker,CAH
100,1997-06-02,Charles Schwab Corporation,316709.0,added_ticker,SCHW
171,1997-06-19,Equifax,33185.0,added_ticker,EFX
42,1997-07-28,APA Corporation,6769.0,added_ticker,APA
380,1997-08-04,Progressive Corporation,80661.0,added_ticker,PGR
499,1997-10-06,Yum! Brands,1041061.0,added_ticker,YUM
449,1997-12-04,Truist Financial,92230.0,added_ticker,TFC
107,1997-12-18,Cincinnati Financial,20286.0,added_ticker,CINF
84,1998-07-01,Capital One Financial,927628.0,added_ticker,COF
398,1998-08-28,Regions Financial Corporation,1281761.0,added_ticker,RF
8,1998-10-02,AES Corp,874761.0,added_ticker,AES
87,1998-12-22,Carnival Corporation,815097.0,added_ticker,CCL
293,1999-03-25,Lumen Technologies,18926.0,added_ticker,LUMN
115,1999-05-03,CMS Energy,811156.0,added_ticker,CMS
9,1999-05-28,Aflac,4977.0,added_ticker,AFL
328,1999-06-25,NetApp,1002047.0,added_ticker,NTAP
64,1999-06-29,Best Buy,764478.0,added_ticker,BBY
476,1999-06-30,Vulcan Materials,1396009.0,added_ticker,VMC
37,1999-10-12,Analog Devices,6281.0,added_ticker,ADI
282,1999-10-14,Leggett & Platt,58492.0,added_ticker,LEG
497,1999-11-08,Xilinx,743988.0,added_ticker,XLNX
112,1999-12-01,Citrix Systems,877890.0,added_ticker,CTXS
10,2000-06-05,Agilent Technologies,1090872.0,added_ticker,A
141,2000-08-30,Devon Energy,1090012.0,added_ticker,DVN
170,2000-11-02,EOG Resources,821189.0,added_ticker,EOG
401,2000-12-05,Robert Half International,315213.0,added_ticker,RHI
253,2000-12-05,Intuit,896878.0,added_ticker,INTU
425,2000-12-12,Stryker Corporation,310764.0,added_ticker,SYK
108,2001-03-01,Cintas Corporation,723254.0,added_ticker,CTAS
194,2001-04-02,Fiserv,798354.0,added_ticker,FISV
502,2001-06-22,Zions Bancorp,109380.0,added_ticker,ZION
501,2001-08-07,Zimmer Biomet,1136869.0,added_ticker,ZBH
33,2001-08-30,AmerisourceBergen,1140859.0,added_ticker,ABC
346,2001-11-30,Nvidia,1045810.0,added_ticker,NVDA
173,2001-12-03,Equity Residential,906107.0,added_ticker,EQR
416,2002-06-26,Simon Property Group,1063761.0,added_ticker,SPG
166,2002-07-22,Electronic Arts,712515.0,added_ticker,EA
217,2002-07-22,Goldman Sachs,886982.0,added_ticker,GS
378,2002-07-22,Principal Financial Group,1126328.0,added_ticker,PFG
382,2002-07-22,Prudential Financial,1137774.0,added_ticker,PRU
461,2002-07-22,United Parcel Service,1090727.0,added_ticker,UPS
162,2002-07-22,eBay,1065088.0,added_ticker,EBAY
39,2002-07-25,Anthem,1156039.0,added_ticker,ANTM
447,2002-08-21,The Travelers Companies,86312.0,added_ticker,TRV
119,2002-11-19,Comcast,1166691.0,added_ticker,CMCSA
391,2002-12-12,Quest Diagnostics,1022079.0,added_ticker,DGX
304,2003-03-20,McCormick & Company,63754.0,added_ticker,MKC
341,2003-03-25,NortonLifeLock,849399.0,added_ticker,NLOK
381,2003-07-17,Prologis,1045609.0,added_ticker,PLD
67,2003-11-13,Biogen,875045.0,added_ticker,BIIB
295,2004-02-23,M&T Bank,36270.0,added_ticker,MTB
473,2004-04-23,Viatris,1792044.0,added_ticker,VTRS
214,2004-07-01,Gilead Sciences,882095.0,added_ticker,GILD
442,2004-08-03,Thermo Fisher Scientific,97745.0,added_ticker,TMO
278,2004-11-01,LabCorp,920148.0,added_ticker,LH
343,2005-03-14,Nov,1021860.0,added_ticker,NOV
134,2005-06-22,D. R. Horton,882184.0,added_ticker,DHI
124,2005-07-01,Constellation Brands,16918.0,added_ticker,STZ
452,2005-08-10,Tyson Foods,100493.0,added_ticker,TSN
385,2005-08-19,Public Storage,1393311.0,added_ticker,PSA
32,2005-10-03,Ameriprise Financial,820027.0,added_ticker,AMP
284,2005-10-04,Lennar,920760.0,added_ticker,LEN
23,2005-11-18,Amazon,1018724.0,added_ticker,AMZN
175,2006-01-05,Estée Lauder Companies,1001250.0,added_ticker,EL
467,2006-02-01,Verisign,1014473.0,added_ticker,VRSN
73,2006-04-03,Boston Properties,1037540.0,added_ticker,BXP
21,2006-04-03,Alphabet (Class C),1652044.0,added_ticker,GOOG
272,2006-04-04,Kimco Realty,879101.0,added_ticker,KIM
266,2006-06-02,Juniper Networks,1043604.0,added_ticker,JNPR
114,2006-08-11,CME Group,1156375.0,added_ticker,CME
489,2006-09-29,Western Union,1365135.0,added_ticker,WU
92,2006-11-10,CBRE,1138118.0,added_ticker,CBRE
190,2006-11-10,Fidelity National Information Services,1136893.0,added_ticker,FIS
117,2006-11-17,Cognizant Technology Solutions,1058290.0,added_ticker,CTSH
55,2007-01-10,AvalonBay Communities,915912.0,added_ticker,AVB
392,2007-02-02,Ralph Lauren Corporation,1037038.0,added_ticker,RL
79,2007-03-02,C. H. Robinson,1043277.0,added_ticker,CHRW
234,2007-03-20,Host Hotels & Resorts,1070750.0,added_ticker,HST
49,2007-04-10,Assurant,1267238.0,added_ticker,AIZ
145,2007-07-02,Discover Financial Services,1393612.0,added_ticker,DFS
12,2007-07-12,Akamai Technologies,1086222.0,added_ticker,AKAM
312,2007-09-07,Microchip Technology,827054.0,added_ticker,MCHP
248,2007-09-26,Intercontinental Exchange,1571949.0,added_ticker,ICE
181,2007-10-02,Expedia Group,1324424.0,added_ticker,EXPE
182,2007-10-10,Expeditors,746515.0,added_ticker,EXPD
260,2007-10-26,Jacobs Engineering Group,52988.0,added_ticker,J
30,2007-11-19,American Tower,1053507.0,added_ticker,AMT
370,2008-03-31,Philip Morris International,1413329.0,added_ticker,PM
224,2008-03-31,Healthpeak Properties,765880.0,added_ticker,PEAK
254,2008-06-02,Intuitive Surgical,1035267.0,added_ticker,ISRG
80,2008-06-23,Cabot Oil & Gas,858470.0,added_ticker,COG
303,2008-07-18,Mastercard,1141391.0,added_ticker,MA
137,2008-07-31,DaVita,927066.0,added_ticker,DVA
255,2008-08-21,Invesco,914208.0,added_ticker,IVZ
98,2008-08-27,CF Industries,1324404.0,added_ticker,CF
408,2008-09-15,Salesforce,1108524.0,added_ticker,CRM
187,2008-09-15,Fastenal,815556.0,added_ticker,FAST
277,2008-09-22,L3Harris Technologies,202058.0,added_ticker,LHX
373,2008-09-24,Pioneer Natural Resources,1038357.0,added_ticker,PXD
36,2008-09-30,Amphenol Corp,820313.0,added_ticker,APH
327,2008-10-22,Nasdaq,1120193.0,added_ticker,NDAQ
484,2008-10-31,WEC Energy Group,783325.0,added_ticker,WEC
262,2008-11-06,JM Smucker,91419.0,added_ticker,SJM
365,2008-11-13,People's United Financial,1378946.0,added_ticker,PBCT
495,2008-11-14,Wynn Resorts,1174922.0,added_ticker,WYNN
140,2008-11-14,Dentsply Sirona,818479.0,added_ticker,XRAY
399,2008-12-05,Republic Services,1060391.0,added_ticker,RSG
258,2009-01-06,Iron Mountain,1020569.0,added_ticker,IRM
486,2009-01-30,Welltower,766704.0,added_ticker,WELL
466,2009-03-04,Ventas,740260.0,added_ticker,VTR
233,2009-03-04,Hormel,48465.0,added_ticker,HRL
349,2009-03-27,O'Reilly Automotive,898173.0,added_ticker,ORLY
389,2009-07-01,Quanta Services,1050915.0,added_ticker,PWR
488,2009-07-01,Western Digital,106040.0,added_ticker,WDC
196,2009-08-19,FMC Corporation,37785.0,added_ticker,FMC
71,2009-11-06,Booking Holdings,1075531.0,added_ticker,BKNG
474,2009-12-21,Visa,1403161.0,added_ticker,V
405,2009-12-21,Ross Stores,745732.0,added_ticker,ROST
404,2009-12-23,Roper Technologies,882835.0,added_ticker,ROP
344,2010-01-29,NRG Energy,1013871.0,added_ticker,NRG
63,2010-02-16,Berkshire Hathaway,1067983.0,added_ticker,BRK.B
146,2010-03-01,Discovery (Series A),1437107.0,added_ticker,DISCA
353,2010-03-15,Oneok,1039684.0,added_ticker,OKE
97,2010-04-30,Cerner,804753.0,added_ticker,CERN
86,2010-06-28,CarMax,1170010.0,added_ticker,KMX
