,Date,buy_volume_pct,sell_volume_pct,daily_buy_vol,daily_sell_vol,net_daily_vol,20td_trend_vol,20td_tot_daily_vol,20td_trend_vol,20td_trend_vol_factor,20td_tvf_rng_div_2,50td_trend_vol,50td_tot_daily_vol,50td_trend_vol_factor,50td_tvf_rng_div_4,50td_tvf_vel,MIN_Lookback_One_Year,MIN_Lookback_2_Months,MIN_Lookback_1_Months,risk_trend_factor,risk_per_share,volume_factor,Adj Close,50tdBOLD,50tdMA-TP,50tdBOLU,200tdSMA,200tdSDev,adf,hurst,sector_50td_tvf_vel,Sector,Sector Symbol,Market Index,Index Symbol,shortName,beta,currentRatio,debtToEquity,dividendRate,dividendYield,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,exDividendDate,forwardEPS,forwardPE,freeCashflow,grossMargins,grossProfits,heldPercentInstitutions,industry,lastDividendDate,lastDividendValue,lastSplitDate,lastSplitFactor,marketCap,operatingCashflow,operatingMargins,payoutRatio,pegRatio,priceToBook,priceToSalesTrailing12Months,profitMargins,quickRatio,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,sharesOutstanding,shortRatio,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEPS,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingPE
ATGE,2022-07-22 00:00:00,0.6421053899621342,-0.3578946100378659,300954.7962752523,-167745.20372474773,133209.59255050457,3231313.3333274988,9311500.0,3231313.3333274988,0.34702393098077633,0.09443104622290026,3231313.3333274988,9311500.0,0.34702393098077633,0.04721552311145013,7.349784734178246,39.70000076293945,39.70000076293945,39.70000076293945,-0.18534033985952728,9.55000114440918,1.0081250444736252,39.11000061035156,28.696581311465756,34.26821681022644,39.839852308987126,30.883787519931793,4.275784769082878,0.23874236985157593,0.44408707215563875,error,error,error,SP600,SLY,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
BCOR,2022-07-22 00:00:00,0.47499701976491904,-0.525002980235081,82554.48203514292,-91245.51796485708,-8691.035929714155,2183826.8440272394,6152100.0,2183826.8440272394,0.35497258562559764,0.09663977998171021,2183826.8440272394,6152100.0,0.35497258562559764,0.048319889990855104,7.346303679349825,18.829999923706055,21.399999618530273,21.399999618530273,-0.9775915901411972,3.5699996948242188,0.9014298831621989,19.3799991607666,15.77532888025479,17.590733296076458,19.406137711898126,17.8489124584198,1.3456375262600417,0.5111473547967941,0.5181065358431716,1.521902527519257,Financial Services,VFH,SP600,SLY,"Blucora, Inc.",1.563235,1.793,173.615,,,,,97943000,0.110649996,1199836800,error,11.650602,41293752,0.45791999,405349000,0.98116994,Asset Management,error,,1031875200,1:10,942219648,36831000,0.07164,0,0.58,2.62344,1.0644144,0.00876,1.627,0.03711,0.02372,0.149,18.222,48718700,3.3,,134824000,2.783,593108992,885200000,error,,,error
FUL,2022-07-22 00:00:00,0.5523794645614366,-0.44762053543856334,116496.82907600698,-94403.170923993,22093.658152013973,3007179.5839016056,7927500.0,3007179.5839016056,0.3793351729929493,0.11012553835666873,3007179.5839016056,7927500.0,0.3793351729929493,0.055062769178334366,6.889140859668331,70.58000183105469,81.7300033569336,81.7300033569336,-2.840316367389367,16.470001220703125,1.1314116969637742,62.41999816894531,54.861572366030984,64.21596666971841,73.57036097340584,69.67301561832429,5.69803382906316,0.4970962656007693,0.4806273196372633,1.7122173956498514,Basic Materials,VAW,SP600,SLY,H. B. Fuller Company,1.732352,1.868,117.925,0.76,0.0117,0.232,0.286,437195008,0.12826,1650412800,error,15.050359,30695624,0.25384,845134000,1.00405,Specialty Chemicals,error,,1154908800,2:1,3298295296,159795008,0.08619001,0.2161,0.85,2.1042747,0.9676367,0.049850002,0.942,0.041939996,0.1101,0.18,64.19,52554100,2.77,,63511000,1.197,1940873984,3408609024,error,0.66,0.010573535,22.358389
TTEC,2022-07-22 00:00:00,0.3114749314188992,-0.6885250685811009,19591.77318624876,-43308.226813751244,-23716.453627502484,384413.1986026979,1569300.0,384413.1986026979,0.24495838820027907,0.07153294303538381,384413.1986026979,1569300.0,0.24495838820027907,0.035766471517691904,6.848827345999458,113.1500015258789,113.37000274658203,113.37000274658203,-12.971259715852316,10.09000015258789,0.5955798375491713,69.66999816894531,61.545755282765974,65.9259167989095,70.30607831505301,78.83356104850769,10.009414847501532,0.7210089510211078,0.5232222832622794,2.3056782865228764,Technology,VGT,SP600,SLY,"TTEC Holdings, Inc.",0.893627,1.571,152.395,1,0.0154,-0.36,-0.353,330303008,0.14531,1648598400,error,14.137577,227745120,0.27004,613815000,0.38787997,Information Technology Services,error,,,,3235206400,251296000,0.10277,0.3702,1.07,6.6151037,1.4232813,0.06202,1.268,0.08311,0.28629,0.072,48.476,46989200,8.4,,158204992,3.366,905745984,2273061888,error,0.9,0.012918042,20.819473
PLMR,2022-07-22 00:00:00,0.16025646511934993,-0.83974353488065,12195.51699558253,-63904.48300441747,-51708.966008834934,401163.91719143355,1983100.0,401163.91719143355,0.20229132025184487,0.05927640002594059,401163.91719143355,1983100.0,0.20229132025184487,0.029638200012970295,6.825357820762326,97.18000030517578,97.18000030517578,97.18000030517578,-8.362018804882052,14.060001373291016,0.4822101224597854,57.9900016784668,54.74247474698393,60.63255153656006,66.52262832613619,64.34111251354217,11.415913896433516,0.18528796719336849,0.4674594510296372,error,error,error,SP600,SLY,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
XNCR,2022-07-22 00:00:00,0.2876720202962394,-0.7123279797037606,59433.03939320306,-147166.96060679693,-87733.92121359387,2817000.2620623508,8971200.0,2817000.2620623508,0.3140048446208256,0.0943777926541132,2817000.2620623508,8971200.0,0.3140048446208256,0.0471888963270566,6.654210398236954,43.61000061035156,43.61000061035156,43.61000061035156,-3.073482692892069,14.084999084472656,1.596061876522674,29.18000030517578,17.671025238103343,25.37030659675598,33.069587955408615,31.490950098037718,5.984069905305295,0.07918716876389964,0.43191818416554745,error,error,error,SP600,SLY,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
PRDO,2022-07-22 00:00:00,0.28947269355190874,-0.7105273064480913,177417.81387796486,-435482.18612203514,-258064.37224407028,3236401.4452764736,10550900.0,3236401.4452764736,0.3067417419629106,0.09246880494801188,3236401.4452764736,10550900.0,0.3067417419629106,0.04623440247400594,6.634491321378447,12.649999618530273,12.649999618530273,12.649999618530273,0.29289933065044255,3.380000114440918,1.0608274658144372,12.979999542236328,9.507972904930064,11.117249992688498,12.726527080446932,11.071499992609024,0.6655006879124533,0.14411046632617913,0.4733502407071028,error,error,error,SP600,SLY,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
PAHC,2022-07-22 00:00:00,0.3066660563151042,-0.6933339436848959,17725.298055013023,-40074.701944986984,-22349.40388997396,333312.97043760755,1805400.0,333312.97043760755,0.18462001242805337,0.05605113776500328,333312.97043760755,1805400.0,0.18462001242805337,0.02802556888250164,6.587556284836909,26.549999237060547,26.549999237060547,26.549999237060547,-7.048948824379912,2.8600006103515625,0.7524340187121327,19.829999923706055,17.746287795445838,19.03141129175822,20.316534788070605,19.927215356826782,1.1575921835610818,0.5736563643495293,0.49329845502510883,error,error,error,SP600,SLY,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
ENVA,2022-07-22 00:00:00,0.3362462727590745,-0.6637537272409255,45628.619213406404,-90071.3807865936,-44442.76157318719,1666667.3037960792,4088200.0,1666667.3037960792,0.40767753627417425,0.12553914840807562,1666667.3037960792,4088200.0,0.40767753627417425,0.06276957420403781,6.494827174531787,41.060001373291016,47.880001068115234,47.880001068115234,-4.182770624788781,8.59000015258789,0.6067909306903794,33.630001068115234,26.823113509541905,30.076403350830077,33.32969319211825,36.57142498970032,4.644846340353451,0.36380532403628385,0.5112611025304108,error,error,error,SP600,SLY,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
HNGR,2022-07-22 00:00:00,0.7058869728146844,-0.2941130271853157,15202334.79002345,-6334165.209976551,8868169.5800469,9444055.842440411,24680100.0,9444055.842440411,0.3826587348690002,0.11966427881346714,9444055.842440411,24680100.0,0.3826587348690002,0.05983213940673357,6.395538228504919,25.540000915527344,25.540000915527344,25.540000915527344,-4.215415826547356,5.059999465942383,7.816787151721477,18.43000030517578,13.409027324466232,14.943016700744629,16.477006077023027,17.380462477207185,1.7625052012461353,0.11628516623471297,0.4669378833987503,1.7594236599693098,Healthcare,VHT,SP600,SLY,"Hanger, Inc.",1.305882,1.404,612.411,,,-0.138,-0.127,105523000,0.09418,,error,14.690476,795500,0.32834,367905000,0.97814006,Medical Care Facilities,error,,662774400,1:4,716496192,36210000,0.06515,0,1.43,8.00952,0.63945013,0.037469998,0.979,0.04682,0.52104,0.126,29.029,38708600,11.07,,61692000,1.593,674699008,1120487936,error,,,16.424135
OPCH,2022-07-22 00:00:00,0.6124979138354434,-0.38750208616455667,683976.4203800396,-432723.57961996045,251252.84076007915,10931514.086320288,23985700.0,10931514.086320288,0.4557513054161558,0.14384843324716756,10931514.086320288,23985700.0,0.4557513054161558,0.07192421662358378,6.336548756607744,22.690000534057617,30.700000762939453,31.079999923706055,1.7546094263614547,7.049999237060547,1.103751664634448,32.279998779296875,25.73836807727238,28.788349994023644,31.838331910774908,26.895499987602236,2.159580859326072,0.8755598802533925,0.37660102088364183,1.7594236599693098,Healthcare,VHT,SP400,MDYG,"Option Care Health, Inc.",1.599322,1.586,94.913,,,,,281059008,0.07818,,error,28.619469,150870000,0.22670999,779606000,0.82047,Medical Care Facilities,,,1580688000,1:4,5822881792,222870000,0.059520002,0,3.54,4.765694,1.6196326,0.048130002,1.106,0.04847,0.1545,0.206,19.985,180052000,3.95,,147008000,0.816,1159617024,3595186944,error,0,0,33.340206
MLAB,2022-07-22 00:00:00,0.48014940716101784,-0.5198505928389822,15604.85573273308,-16895.14426726692,-1290.2885345338418,137537.68481671694,894900.0,137537.68481671694,0.1536905629866096,0.048565292360882445,137537.68481671694,894900.0,0.1536905629866096,0.024282646180441222,6.329234542419915,307.9700012207031,333.4200134277344,333.4200134277344,-7.553454967835301,48.079986572265625,1.5044698671641505,203.8800048828125,184.25646397373336,202.90443290710448,221.5524018404756,262.41921281814575,45.186141372136994,0.2761059497775328,0.43057988691886206,error,error,error,SP600,SLY,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
MCK,2022-07-22 00:00:00,0.4669057835719043,-0.5330942164280957,390006.4010176117,-445293.5989823884,-55287.197964776715,5136149.872000776,20738700.0,5136149.872000776,0.24766016539131075,0.07903025360526314,5136149.872000776,20738700.0,0.24766016539131075,0.03951512680263157,6.2674774303094845,205.36000061035156,339.94000244140625,339.94000244140625,2.642751464106859,40.139984130859375,0.9850536604055221,330.44000244140625,304.61971559611106,321.39935923258463,338.1790028690582,275.23611236572265,44.055606858928094,0.9987921016175534,0.46144929990341055,1.7594236599693098,Healthcare,VHT,SP500,SPY,McKesson Corporation,0.633461,0.954,,1.88,0.0057,-0.406,-0.447,3191000064,0.01209,1653955200,error,13.179146,2685625088,0.049569998,13084000000,0.92629,Medical Distribution,1653955200,0.47,883958400,2:1,48545603584,4433999872,0.009649999,0.2521,1.03,,0.18390855,0.00422,0.456,0.02481,,0.118,1733.198,143580992,1.85,,3532000000,24.297,7616999936,263965999104,error,1.83,0.0055380706,46.30854
SPSC,2022-07-22 00:00:00,0.6442300168238194,-0.3557699831761806,82461.44215344888,-45538.55784655111,36922.884306897766,772357.2530439004,3412700.0,772357.2530439004,0.2263185316740119,0.0724601243101633,772357.2530439004,3412700.0,0.2263185316740119,0.03623006215508165,6.246705586793158,118.05999755859375,174.4199981689453,174.4199981689453,-5.253910416019624,21.73999786376953,0.9457046950401181,117.55999755859375,96.0525423504281,107.22050011952717,118.38845788862625,127.46886249542236,17.42649845656403,0.7518891748824947,0.5264872387102328,2.3056782865228764,Technology,VGT,SP600,SLY,"SPS Commerce, Inc.",0.805882,3.722,4.003,,,0.214,0.236,83752000,0.20918,,error,57.455444,60734124,0.65758,253598000,1.03128,Software—Infrastructure,error,,1566518400,2:1,4174004992,95635000,0.14719,0,3.8,8.871054,10.425239,0.11739001,2.985,0.06333,0.10085,0.168,11.114,35964200,3.44,,243056000,6.729,19675000,400375008,error,,,94.4345
EGP,2022-07-22 00:00:00,0.44802975197571715,-0.5519702480242829,74865.77155514233,-92234.22844485767,-17368.456889715337,4327151.230364008,9203600.0,4327151.230364008,0.47015854995480116,0.1530722883243001,4327151.230364008,9203600.0,0.47015854995480116,0.07653614416215004,6.1429610166762485,178.64999389648438,229.83999633789062,229.83999633789062,-7.303464878719047,20.199996948242188,2.100469518874069,163.60000610351562,148.71981239134874,158.17718292236327,167.6345534533778,188.8189810371399,21.07579008000823,0.7208214996873461,0.4523678978135307,0.16708361989875883,Real Estate,VNQ,SP400,MDYG,"EastGroup Properties, Inc.",0.872058,0.859,89.091,4.4,0.026199998,1.235,1.326,271051008,0.63848996,1648598400,error,50.265244,246708368,0.72128,294397000,0.94144994,REIT—Industrial,error,,860457600,3:2,6707620352,259934000,0.36876,0.8189,5.89,4.715017,15.800555,0.45651,0.64,0.03207,0.12964,0.154,10.444,40684300,4.05,,22848000,0.549,1491737984,424518016,error,3.27,0.019987775,53.791187
KELYA,2022-07-22 00:00:00,0.22972990388506417,-0.7702700961149358,30990.564034095158,-103909.43596590484,-72918.87193180967,913111.8844714648,2785800.0,913111.8844714648,0.3277736680563805,0.10779128175036118,913111.8844714648,2785800.0,0.3277736680563805,0.05389564087518059,6.081635967841754,25.0,25.0,25.0,-2.557376395627795,4.880001068115234,0.8449896230863362,20.84000015258789,17.486338105953454,19.26695809364319,21.047578081332926,19.08885919570923,1.593391610345054,0.09170665806901052,0.4523422044505803,2.3606751055652397,Industrials,VIS,SP600,SLY,"Kelly Services, Inc.",1.023529,1.451,6.137,0.3,0.0168,1.999,2.064,84900000,0.01729,1653436800,error,11.157895,100275000,0.18722,919200000,0.85339,Staffing & Employment Services,error,,740016000,5:4,833261760,85000000,0.01122,0.0256,0.7,0.65521085,0.16971745,0.03179,1.402,0.012619999,0.12295,0.007,124.612,36030900,3.79,,112700000,2.86,82000000,4909700096,error,0.05,0.0023992322,7.802724
